"","users","evcent","in.degree","out.degree","total.degree","betweenness","transitivity","coreness","turnover","p","n","s","n.pull","n.issue","n.issue.c","n.pull.c","n.commit","n.interactions"
"172",3387,0.171853908163303,467,467,467,333900.170269662,0.0553620497927599,56,TRUE,0,0,0,4,4,153,320,2179,2660
"173",6641,0.0267126783284402,11,11,11,88.9095695734853,0.872727272727273,10,TRUE,0,0,0,2,2,1,4,6,15
"174",10137,0.857585220232891,482,482,482,173883.935786398,0.144339679609389,142,TRUE,0,0,0,30,83,72,13,0,198
"175",438,0.000396568470595202,1,1,1,0,NaN,1,FALSE,0,0,0,1,3,0,0,0,4
"176",2988,0.00198359514927302,2,2,2,0,1,2,TRUE,0,0,0,1,0,0,2,2,5
"177",167215,0.00129798379902113,2,2,2,0,1,2,FALSE,0,0,0,4,2,1,0,2,9
"178",5958,0.0296270848943707,42,42,42,2055.7128340192,0.476190476190476,20,TRUE,0,0,0,7,1,3,13,9,33
"179",28908,0.00975966261333017,5,5,5,4.49875055743785,0.8,5,FALSE,0,0,0,11,1,0,2,1,15
"180",20515,0.0113433783836293,5,5,5,115.271588452448,0.8,4,TRUE,0,0,0,6,4,2,2,1,15
"181",1075,0.0492345579861466,70,70,70,6410.03692804831,0.407867494824017,34,TRUE,0,0,0,9,9,37,16,42,113
"182",53006,0.00196978332775552,1,1,1,0,NaN,1,FALSE,0,0,0,3,5,0,0,1,9
"183",37318,0.00205374328130237,2,2,2,0,1,2,TRUE,0,0,0,1,0,0,3,3,7
"184",7035,0.0571197449903215,48,48,48,4984.27158717773,0.415780141843972,26,TRUE,0,0,0,16,4,21,51,15,107
"185",325471,0.00446113558901229,7,7,7,177.184290934199,0.476190476190476,6,TRUE,0,0,0,2,1,4,1,2,10
"186",253454,0.00278231680182818,3,3,3,0,1,3,TRUE,0,0,0,2,1,1,0,2,6
"187",22501,0.0470548489768047,67,67,67,31458.4183742732,0.227951153324288,26,TRUE,0,0,0,2,6,22,21,88,139
"188",295689,0.0157812116359141,9,9,9,236.275091277704,0.777777777777778,7,TRUE,0,0,0,7,2,3,3,3,18
"189",691200,0.00212198243680606,2,2,2,0,1,2,FALSE,0,0,0,1,0,0,1,0,2
"190",128210,0.0193640928088923,21,21,21,441.348465627468,0.804761904761905,16,TRUE,0,0,0,8,5,6,1,9,29
"191",9952,0.00173598189882916,5,5,5,8782.91025641025,0.3,2,TRUE,0,0,0,2,0,2,2,2,8
"192",483,0.00335362178636566,5,5,5,14.8733369111457,0.6,4,TRUE,0,0,0,1,0,2,0,2,5
"193",78225,0.00196978332775552,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,1,2
"194",49042,0.017567761767984,11,11,11,131.28414946987,0.8,9,FALSE,0,0,0,4,0,2,0,1,7
"195",639851,0.0219329412174964,18,18,18,692.212091290993,0.61437908496732,16,TRUE,0,0,0,2,5,14,1,4,26
"196",79566,0.00182551038342374,1,1,1,0,NaN,1,FALSE,0,0,0,3,0,0,0,1,4
"197",12682,0.77205329027389,169,169,169,12223.9554998703,0.719498450267681,142,TRUE,0,0,0,6,5,4,3,3,21
"198",111473,0.0332385005698627,29,29,29,2099.98942390867,0.497536945812808,23,TRUE,0,0,0,67,0,1,40,92,200
"199",134173,0.00580016583586381,5,5,5,6.42444080308282,0.8,5,FALSE,0,0,0,3,0,1,0,0,4
"200",20987,0,1,1,1,0,NaN,1,FALSE,0,0,0,1,1,0,0,1,3
"201",8593,0.0125251151767447,16,16,16,221.006578292277,0.825,14,FALSE,0,0,0,1,0,1,1,0,3
"202",533969,0.00170195532739471,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,2,0,3
"203",446397,0.0011966229638783,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,1,2,4
"204",120214,0.00229983687509776,2,2,2,0,1,2,FALSE,0,0,0,1,0,0,1,0,2
"205",63880,0.0119988743304979,8,8,8,126.975708692928,0.785714285714286,6,TRUE,0,0,0,5,0,1,5,3,14
"206",40689,0.000913240019555692,2,2,2,0,1,2,FALSE,0,0,0,1,0,0,1,1,3
"207",224373,0.0113394217733465,8,8,8,115.036729869873,0.892857142857143,7,TRUE,0,0,0,1,1,4,0,0,6
"208",90695,0.00170195532739471,1,1,1,0,NaN,1,FALSE,0,0,0,2,0,0,2,0,4
"209",9832,0.00316460091704333,3,3,3,0,1,3,FALSE,0,0,0,13,3,0,2,12,30
"210",4361,0.0290893334681683,13,13,13,214.979881634038,0.833333333333333,10,FALSE,0,0,0,1,2,1,0,0,4
"211",2415,0.00309687824629864,2,2,2,0,1,2,FALSE,0,0,0,2,0,0,3,4,9
"212",1287,0.00295402979820659,3,3,3,50.2332030404444,0.666666666666667,2,TRUE,0,0,0,1,0,1,1,8,11
"213",16798,0.00149999696245507,4,4,4,0,1,4,FALSE,0,0,0,1,1,0,2,0,4
"214",17474,0.0230574009775375,12,12,12,39.6929477607101,0.803030303030303,12,TRUE,0,0,0,2,1,2,4,0,9
"215",90239,0.00196978332775552,1,1,1,0,NaN,1,FALSE,0,0,0,2,0,0,1,0,3
"216",11707,0.0019903523094579,2,2,2,0,1,2,FALSE,0,0,0,2,0,0,0,1,3
"217",80978,0.0194743002116772,12,12,12,166.404549612438,0.651515151515151,10,TRUE,0,0,0,25,3,2,1,22,53
"218",112913,0.0271097899737946,44,44,44,9260.44938532737,0.396405919661734,22,TRUE,0,0,0,7,0,2,14,5,28
"219",12160,0.000546548524441287,2,2,2,0,1,2,FALSE,0,0,0,1,0,0,2,0,3
"220",173257,0.00196978332775552,1,1,1,0,NaN,1,TRUE,0,0,0,1,1,0,2,1,5
"221",142554,0.0225726054929848,11,11,11,5.89819966193325,0.909090909090909,11,TRUE,0,0,0,3,0,0,9,1,13
"222",3528,0.0181047491076693,18,18,18,137.140704811134,0.679738562091503,14,TRUE,0,0,0,1,1,1,5,0,8
"223",417251,0.0100434422996255,5,5,5,3.04940331322815,0.7,5,FALSE,0,0,0,1,1,1,1,0,4
"224",27787,0.00923310053266035,5,5,5,56.2144597457369,0.7,4,TRUE,0,0,0,2,1,1,1,1,6
"225",6556,0.00194965338201629,2,2,2,0,1,2,FALSE,0,0,0,1,0,0,1,0,2
"226",3463,0.00196978332775552,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,2,3
"227",4867,0.0535575303228245,78,78,78,16915.9189997489,0.281385281385281,31,FALSE,0,0,0,3,7,13,2,4,29
"228",15064,0.000466069426798437,3,3,3,0,1,3,FALSE,0,0,0,1,0,0,1,0,2
"229",5402,0.121197546912538,279,279,279,85549.03172991,0.0959748330367964,50,TRUE,0,0,0,223,8,89,12,1638,1970
"230",61120,0.00187137938863186,11,11,11,61.7894952425693,0.618181818181818,8,FALSE,0,0,0,1,0,1,0,1,3
"231",46654,0.00236979817448477,11,11,11,427.67082599406,0.6,8,FALSE,0,0,0,1,0,1,1,0,3
"232",68955,0.0262257607995254,38,38,38,3238.9902261638,0.647226173541963,28,TRUE,0,0,0,9,0,1,6,3,19
"233",16808,0.0272719306428351,19,19,19,1187.16388344568,0.64327485380117,16,TRUE,0,0,0,38,0,6,14,30,88
"234",24949,0.0196054358592297,44,44,44,3515.1658678463,0.504228329809725,28,TRUE,0,0,0,3,0,5,8,2,18
"235",487140,0.0194037812598433,6,6,6,0,1,6,TRUE,0,0,0,7,0,0,9,42,58
"236",6351,0.0613725378113571,97,97,97,16796.0059905523,0.251718213058419,31,FALSE,0,0,0,43,1,4,99,54,201
"237",1920,0.0122107917399736,9,9,9,45.862656133165,0.833333333333333,7,TRUE,0,0,0,1,1,2,4,0,8
"238",5927,0.0195586863806907,27,27,27,542.275019536818,0.584045584045584,16,TRUE,0,0,0,3,0,5,1,149,158
