"","users","evcent","in.degree","out.degree","total.degree","betweenness","transitivity","coreness","turnover","p","n","s","n.pull","n.issue","n.issue.c","n.pull.c","n.commit","n.interactions"
"177",3264193,9.34861434287988e-18,0,0,0,0,NaN,0,FALSE,0,0,0,1,0,0,1,0,2
"178",81942,0.0519168194334489,2,2,2,0,1,2,FALSE,0,0,0,1,0,0,1,0,2
"179",727605,9.34861434287988e-18,0,0,0,0,NaN,0,FALSE,0,0,0,1,0,0,1,0,2
"180",4141669,0.0418496741445557,1,1,1,0,NaN,1,TRUE,0,0,0,1,0,0,1,6,8
"181",197338,0.0979797076770823,15,15,15,10,0.876190476190476,14,TRUE,0,0,0,2,0,0,4,0,6
"182",776678,0.0436775660512269,2,2,2,0,1,2,FALSE,0,0,0,1,0,0,0,0,1
"183",2340606,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,0,1
"184",791578,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,0,1
"185",598730,0.0418496741445557,1,1,1,0,NaN,1,TRUE,0,0,0,2,0,0,1,2,5
"186",536984,0.0418496741445557,1,1,1,0,NaN,1,TRUE,0,0,0,4,0,0,2,27,33
"187",3994789,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,0,1
"188",1527117,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,2,3
"189",617518,0.0642339053415422,7,7,7,14.1666666666667,0.761904761904762,6,TRUE,0,0,0,2,0,0,8,0,10
"190",25395,0.0418496741445557,1,1,1,0,NaN,1,TRUE,0,0,0,1,0,0,4,0,5
"191",23448,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,1,0,2
"192",6311042,9.34861434287988e-18,0,0,0,0,NaN,0,FALSE,0,0,0,1,0,0,0,0,1
"193",1949593,9.34861434287988e-18,0,0,0,0,NaN,0,FALSE,0,0,0,1,0,0,0,3,4
"194",1896803,9.34861434287988e-18,0,0,0,0,NaN,0,FALSE,0,0,0,1,0,0,0,1,2
"195",1016365,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,2,0,0,0,1,3
"196",802731,0.0519168194334489,2,2,2,0,1,2,TRUE,0,0,0,2,0,0,3,0,5
"197",685038,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,0,1
"198",1577682,9.26489443783389e-18,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,0,1
"199",1476722,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,1,1,3
"200",3488572,9.34861434287988e-18,0,0,0,0,NaN,0,FALSE,0,0,0,1,0,0,0,0,1
"201",2847338,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,2,0,3
"202",502876,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,2,0,3
"203",301798,0.0436775660512269,2,2,2,0,1,2,FALSE,0,0,0,1,0,0,0,0,1
"204",193923,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,3,0,4
"205",629976,0.0444118663203939,2,2,2,0,1,2,FALSE,0,0,0,1,0,0,2,0,3
"206",3763828,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,1,2
"207",781659,0.0418496741445557,1,1,1,0,NaN,1,TRUE,0,0,0,1,0,0,6,0,7
"208",330441,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,1,2
"209",324298,9.34861434287988e-18,0,0,0,0,NaN,0,FALSE,0,0,0,1,0,0,0,1,2
"210",3318312,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,0,1
"211",4822,0.00191474193981957,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,1,0,2
"212",291301,0.0445378421521315,2,2,2,0,1,2,FALSE,0,0,0,1,0,0,3,0,4
"213",7377262,0.0100671452888932,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,0,1
"214",565754,9.34861434287988e-18,0,0,0,0,NaN,0,FALSE,0,0,0,1,0,0,1,0,2
"215",841453,9.34861434287988e-18,0,0,0,0,NaN,0,FALSE,0,0,0,1,0,0,0,0,1
"216",4674442,0.0418496741445557,1,1,1,0,NaN,1,TRUE,0,0,0,2,0,0,2,1,5
"217",5620782,9.34861434287988e-18,0,0,0,0,NaN,0,FALSE,0,0,0,1,0,0,0,0,1
"218",986892,9.34861434287988e-18,0,0,0,0,NaN,0,FALSE,0,0,0,1,0,0,0,1,2
"219",1334470,0.0455118831864452,3,3,3,0.5,0.666666666666667,2,TRUE,0,0,0,1,0,0,5,0,6
"220",1206678,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,1,0,2
"221",507615,9.34861434287988e-18,0,0,0,0,NaN,0,FALSE,0,0,0,1,0,0,0,1,2
"222",1170420,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,0,1
"223",498917,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,1,2
"224",1162160,0.0100671452888932,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,1,0,2
"225",3507286,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,0,1
"226",552356,0.0100671452888932,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,2,0,3
"227",3506269,0.0100671452888932,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,0,1
"228",7427113,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,0,1
"229",667154,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,1,0,2
"230",3112389,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,0,1
"231",527082,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,2,0,3
"232",290457,0.0100671452888932,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,0,1
"233",1847581,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,2,3
"234",6504944,0.0608114930993626,6,6,6,26.8333333333333,0.533333333333333,4,TRUE,0,0,0,2,0,0,6,0,8
"235",2973056,0.0519168194334489,2,2,2,0,1,2,FALSE,0,0,0,2,0,0,1,0,3
"236",1836407,0.0100671452888932,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,0,1
"237",2206013,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,0,1
"238",1377702,0.051916819433449,2,2,2,0,1,2,TRUE,0,0,0,2,0,0,1,2,5
"239",57199,0.0436775660512269,2,2,2,0,1,2,TRUE,0,0,0,2,0,0,3,3,8
"240",6769316,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,0,1
"241",1336236,0.0100671452888932,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,0,1
"242",5741321,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,0,1
"243",2286572,0.0261242679190755,16,16,16,0,1,16,TRUE,0,0,0,1,0,0,6,0,7
"244",3879182,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,3,0,4
"245",773683,0.0519168194334489,2,2,2,0,1,2,FALSE,0,0,0,1,0,0,1,1,3
"246",4449725,0.0100671452888932,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,2,0,3
"247",5980501,0.0519168194334489,2,2,2,0,1,2,FALSE,0,0,0,1,0,0,0,0,1
"248",945979,0.0700067708245091,9,9,9,210,0.805555555555556,8,FALSE,0,0,0,1,0,0,1,0,2
"249",4595407,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,2,3
"250",9290840,0.0519168194334489,2,2,2,0,1,2,FALSE,0,0,0,1,0,0,1,0,2
"251",810663,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,2,3
"252",1191970,0.084523877882601,26,26,26,2398.50000000001,0.433846153846154,16,TRUE,0,0,0,2,0,0,5,1,8
"253",65913,0.0644320788490573,7,7,7,14.1666666666667,0.761904761904762,6,TRUE,0,0,0,2,0,0,2,1,5
"254",55290,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,1,2
"255",7807159,9.34861434287988e-18,0,0,0,0,NaN,0,FALSE,0,0,0,1,0,0,0,0,1
"256",95970,0.0456724264753226,3,3,3,0,1,3,FALSE,0,0,0,1,0,0,1,0,2
"257",6349067,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,0,1
"258",9605651,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,0,1
